name,latitude,longitude,time
"Fremont, IA",40.734594,-95.592478,10/24/1904
"Fremont, IA",40.734594,-95.592478,10/25/1904
"Fremont, IA",40.734594,-95.592478,10/26/1904
"Opera House: Eddyville, IA",41.157248,-92.634372,10/27/1904
"Opera House: Eddyville, IA",41.157248,-92.634372,10/28/1904
"Opera House: Eddyville, IA",41.157248,-92.634372,10/29/1904
"United Methodist Church: Grinnell, IA",41.743055,-92.722421,10/31/1904
"United Methodist Church: Grinnell, IA",41.743055,-92.722421,11/1/1904
"United Methodist Church: Grinnell, IA",41.743055,-92.722421,11/2/1904
"Montezuma Opera House: Montezuma, IA",41.584878,-92.527431,11/3/1904
"Masonic Opera House: What Cheer, IA",41.401397,-92.354629,11/4/1904
"Masonic Opera House: What Cheer, IA",41.401397,-92.354629,11/5/1904
"Graham Opera House: Washington, IA",41.316008,-91.734033,11/8/1904
"Kalona Opera House: Kalona, IA",41.483072,-91.706002,11/10/1904
"Wellman, IA",41.465065,-91.837854,11/11/1904
"Webster, IA",41.438889,-92.171841,11/12/1904
"Webster, IA",41.438889,-92.171841,11/14/1904
"Keswick, IA",41.452508,-92.239348,11/15/1904
"Christian Church: North English, IA",41.513898,-92.076289,11/17/1904
"Trojan Opera House: Williamsburg, IA",41.661228,-92.009506,11/18/1904
"Trojan Opera House: Williamsburg, IA",41.661228,-92.009506,11/19/1904
"Brian Opera House: Blairstown, IA",41.907089,-92.083342,11/21/1904
"Brian Opera House: Blairstown, IA",41.907089,-92.083342,11/22/1904
"Norway Opera House: Norway, IA",41.902781,-91.921569,11/24/1904
"Norway Opera House: Norway, IA",41.902781,-91.921569,11/25/1904
"Norway Opera House: Norway, IA",41.902781,-91.921569,11/26/1904
"Central City, IA",42.203883,-91.524056,11/28/1904
"Central City, IA",42.203883,-91.524056,11/29/1904
"Central City, IA",42.203883,-91.524056,11/30/1904
"Central Opera House: Manchester, IA",42.484154,-91.455425,12/1/1904
"Central Opera House: Manchester, IA",42.484154,-91.455425,12/2/1904
"Central Opera House: Manchester, IA",42.484154,-91.455425,12/3/1904
"Central Opera House: Manchester, IA",42.484154,-91.455425,12/3/1904
"Cascade Opera House: Cascade, IA",42.298488,-91.014223,12/5/1904
"Cascade Opera House: Cascade, IA",42.298488,-91.014223,12/6/1904
"Preston Opera House: Grinnell, IA",41.743055,-92.722421,12/8/1904
"Preston Opera House: Grinnell, IA",41.743055,-92.722421,12/9/1904
"Preston Opera House: Grinnell, IA",41.743055,-92.722421,12/10/1904
"Preston Opera House: Grinnell, IA",41.743055,-92.722421,12/10/1904
"Brooklyn Opera House: Brooklyn, IA",41.733609,-92.445463,12/12/1904
"Brooklyn Opera House: Brooklyn, IA",41.733609,-92.445463,12/13/1904
"Brooklyn Opera House: Brooklyn, IA",41.733609,-92.445463,12/14/1904
"Malcom, IA",41.70833,-92.559076,12/15/1904
"Keswick, IA",41.452508,-92.239348,12/16/1904
"Christian Church: North English, IA",41.513898,-92.076289,12/17/1904
"Graham Opera House: Washington, IA",41.316008,-91.734033,12/31/1904
,41.316008,-91.734033,1/1/1905
Opera House,41.769743,-91.127935,1/2/1905
Opera House,41.769743,-91.127935,1/3/1905
Opera House,41.769743,-91.127935,1/4/1905
Opera House,42.108337,-91.285159,1/5/1905
Opera House,42.108337,-91.285159,1/6/1905
Opera House,42.108337,-91.285159,1/7/1905
,42.108337,-91.285159,1/8/1905
Opera House,42.238275,-91.186943,1/9/1905
Opera House,42.238275,-91.186943,1/10/1905
Opera House,42.238275,-91.186943,1/11/1905
Hildreth Opera House,43.066361,-92.672411,1/12/1905
Hildreth Opera House,43.066361,-92.672411,1/13/1905
Hildreth Opera House,43.066361,-92.672411,1/14/1905
,43.066361,-92.672411,1/15/1905
Opera House,42.962756,-91.808217,1/16/1905
Opera House,42.962756,-91.808217,1/17/1905
Opera House,42.962756,-91.808217,1/18/1905
Opera House,41.573841,-90.633502,1/19/1905
Opera House,42.673317,-91.913504,1/20/1905
Opera House,42.673317,-91.913504,1/21/1905
,42.673317,-91.913504,1/22/1905
Opera House,42.725814,-92.475463,1/23/1905
Opera House,42.725814,-92.475463,1/24/1905
Opera House,42.725814,-92.475463,1/25/1905
Olympic Opera House,42.742009,-93.202273,1/26/1905
Opera House,42.742009,-93.202273,1/27/1905
Opera House,42.742009,-93.202273,1/28/1905
Midland Theater,42.497469,-94.168016,1/30/1905
Midland Theater,42.497469,-94.168016,1/31/1905
Midland Theater,42.497469,-94.168016,2/1/1905
Gedney Hotel,42.468598,-91.889339,2/2/1905
Gedney Hotel,42.468598,-91.889339,2/3/1905
Gedney Hotel,42.468598,-91.889339,2/4/1905
,42.468598,-91.889339,2/5/1905
Oden Opera House,42.044255,-92.912339,2/6/1905
Oden Opera House,42.044255,-92.912339,2/7/1905
Oden Opera House,42.044255,-92.912339,2/8/1905
Opera House,41.661256,-91.529911,2/9/1905
Opera House,41.661256,-91.529911,2/10/1905
Opera House,41.661256,-91.529911,2/11/1905
,41.661256,-91.529911,2/12/1905
Opera House,42.022765,-93.452434,2/13/1905
Opera House,42.022765,-93.452434,2/14/1905
Opera House,42.022765,-93.452434,2/15/1905
Arie Opera House,42.059705,-93.880227,2/16/1905
Arie Opera House,42.059705,-93.880227,2/17/1905
Arie Opera House,42.059705,-93.880227,2/18/1905
Arie Opera House,42.059705,-93.880227,2/18/1905
,42.059705,-93.880227,2/19/1905
Opera House,42.664138,-93.90439,2/20/1905
Opera House,42.664138,-93.90439,2/21/1905
Opera House,42.664138,-93.90439,2/22/1905
Opera House,43.284081,-92.811162,2/23/1905
Opera House,43.284081,-92.811162,2/24/1905
Opera House,43.284081,-92.811162,2/25/1905
,43.284081,-92.811162,2/26/1905
Palace Music Hall,43.668093,-92.97449,2/27/1905
Palace Music Hall,43.668093,-92.97449,2/28/1905
Palace Music Hall,43.668093,-92.97449,3/1/1905
Opera House,43.381357,-92.114055,3/2/1905
Opera House,43.381357,-92.114055,3/3/1905
Opera House,43.381357,-92.114055,3/4/1905
Opera House,43.381357,-92.114055,3/4/1905
Opera House,44.050005,-91.639229,3/6/1905
Opera House,44.050005,-91.639229,3/7/1905
Opera House,44.050005,-91.639229,3/8/1905
Met Opera House,44.023327,-92.463021,3/9/1905
Met Opera House,44.023327,-92.463021,3/10/1905
Insane Asylum,44.023327,-92.463021,3/11/1905
Met Opera House,44.023327,-92.463021,3/11/1905
,44.023327,-92.463021,3/12/1905
Palace Music Hall,43.668093,-92.97449,3/13/1905
Palace Music Hall,43.668093,-92.97449,3/14/1905
Palace Music Hall,43.668093,-92.97449,3/15/1905
Met Opera House,44.083994,-93.226108,3/16/1905
Met Opera House,44.083994,-93.226108,3/17/1905
Met Opera House,44.083994,-93.226108,3/18/1905
,44.083994,-93.226108,3/19/1905
Opera House,44.294964,-93.268827,3/20/1905
Opera House,44.294964,-93.268827,3/21/1905
Opera House,44.294964,-93.268827,3/22/1905
[Ware Auditorium],44.458204,-93.161159,3/23/1905
[Ware Auditorium],44.458204,-93.161159,3/24/1905
[Ware Auditorium],44.458204,-93.161159,3/25/1905
,44.458204,-93.161159,3/26/1905
Broadway Theater,43.648013,-93.368266,3/27/1905
Broadway Theater,43.648013,-93.368266,3/28/1905
Broadway Theater,43.648013,-93.368266,3/29/1905
Auditorium,44.218991,-93.56797,3/30/1905
Auditorium,44.218991,-93.56797,3/31/1905
Auditorium,44.218991,-93.56797,4/1/1905
,44.218991,-93.56797,4/2/1905
Opera House,44.017224,-93.588572,4/3/1905
Opera House,44.017224,-93.588572,4/4/1905
Opera House,44.017224,-93.588572,4/5/1905
Opera House,44.28212,-94.451855,4/6/1905
Opera House,44.28212,-94.451855,4/7/1905
Opera House,44.28212,-94.451855,4/8/1905
Opera House,44.28212,-94.451855,4/9/1905
Opera House,43.982458,-94.626918,4/10/1905
Opera House,43.982458,-94.626918,4/11/1905
Opera House,43.982458,-94.626918,4/12/1905
Opera House,43.401626,-94.832764,4/13/1905
Opera House,43.401626,-94.832764,4/14/1905
Opera House,43.401626,-94.832764,4/15/1905
Arie Opera House,42.059705,-93.880227,4/17/1905
Arie Opera House,42.059705,-93.880227,4/18/1905
Arie Opera House,42.059705,-93.880227,4/19/1905
Wisner Opera House,42.360816,-93.099646,4/20/1905
Wisner Opera House,42.360816,-93.099646,4/21/1905
Wisner Opera House,42.360816,-93.099646,4/22/1905
,42.360816,-93.099646,4/23/1905
Opera House,42.673317,-91.913504,4/24/1905
Opera House,42.673317,-91.913504,4/25/1905
Gedney Opera House,42.468598,-91.889339,4/26/1905
Opera House,42.962756,-91.808217,4/27/1905
Opera House,42.962756,-91.808217,4/28/1905
Opera House,43.066361,-92.672411,4/29/1905
,43.066361,-92.672411,4/30/1905
Opera House,43.066361,-92.672411,5/1/1905
Opera House,42.725814,-92.475463,5/2/1905
Opera House,42.725814,-92.475463,5/3/1905
Opera House,41.573841,-90.633502,5/4/1905
Opera House,42.238275,-91.186943,5/5/1905
Opera House,42.238275,-91.186943,5/6/1905
,42.238275,-91.186943,5/7/1905
,41.316008,-91.734033,5/8/1905
,41.316008,-91.734033,5/9/1905
,41.316008,-91.734033,5/10/1905
,41.316008,-91.734033,5/11/1905
,41.316008,-91.734033,5/12/1905
,41.316008,-91.734033,5/13/1905
,41.316008,-91.734033,5/14/1905
,41.316008,-91.734033,5/15/1905
,41.316008,-91.734033,5/16/1905
,41.316008,-91.734033,5/17/1905
,41.316008,-91.734033,5/18/1905
,41.316008,-91.734033,5/19/1905
,41.316008,-91.734033,5/20/1905
,41.316008,-91.734033,5/21/1905
,41.316008,-91.734033,5/22/1905
,41.316008,-91.734033,5/23/1905
,41.316008,-91.734033,5/24/1905
,41.316008,-91.734033,5/25/1905
,41.316008,-91.734033,5/26/1905
,41.316008,-91.734033,5/27/1905
,41.316008,-91.734033,5/28/1905
,41.316008,-91.734033,5/29/1905
,41.316008,-91.734033,5/30/1905
,41.316008,-91.734033,5/31/1905
,41.316008,-91.734033,6/1/1905
,41.316008,-91.734033,6/2/1905
,41.316008,-91.734033,6/3/1905
,41.316008,-91.734033,6/4/1905
,41.316008,-91.734033,6/5/1905
,41.316008,-91.734033,6/6/1905
,41.316008,-91.734033,6/7/1905
,41.316008,-91.734033,6/8/1905
,41.316008,-91.734033,6/9/1905
Opera House,41.147783,-91.661307,6/10/1905
Methodist Church Tent,41.316008,-91.734033,6/22/1905
Tent,41.316008,-91.734033,6/23/1905
Tent,41.316008,-91.734033,6/24/1905
Tent,41.338904,-91.817671,7/4/1905
Opera House,41.28891,-91.552384,7/8/1905
Tent,41.921673,-93.31227,7/15/1905
Tent,41.921673,-93.31227,7/17/1905
,41.316008,-91.734033,7/18/1905
,41.316008,-91.734033,7/19/1905
Tent,41.316008,-91.734033,7/20/1905
Tent,41.316008,-91.734033,7/21/1905
Tent,41.221126,-91.937674,7/22/1905
,41.316008,-91.734033,7/24/1905
Tent,41.174739,-91.819615,7/25/1905
Tent,41.174739,-91.819615,7/26/1905
,40.963695,-91.558073,7/27/1905
Tent,40.963695,-91.558073,7/28/1905
Tent,40.963695,-91.558073,7/29/1905
,40.963695,-91.558073,7/30/1905
Tent,40.963695,-91.558073,7/31/1905
Tent,40.926846,-91.401233,8/1/1905
Tent,41.008736,-91.962649,8/2/1905
Tent,41.008736,-91.962649,8/3/1905
Tent,41.008736,-91.962649,8/4/1905
Tent,41.008736,-91.962649,8/5/1905
Tent,41.008736,-91.962649,8/7/1905
Tent,41.185571,-91.992953,8/8/1905
Tent,41.185571,-91.992953,8/9/1905
Tent,41.185571,-91.992953,8/10/1905
,41.172513,-92.308794,8/11/1905
Tent,41.172513,-92.308794,8/12/1905
,41.172513,-92.308794,8/13/1905
Tent,41.172513,-92.308794,8/14/1905
,41.020015,-92.411296,8/15/1905
,41.020015,-92.411296,8/16/1905
,41.020015,-92.411296,8/17/1905
,41.020015,-92.411296,8/18/1905
Tent,41.020015,-92.411296,8/19/1905
,41.020015,-92.411296,8/20/1905
,41.020015,-92.411296,8/21/1905
,41.316008,-91.734033,8/22/1905
,41.316008,-91.734033,8/23/1905
,41.316008,-91.734033,8/24/1905
,41.316008,-91.734033,8/25/1905
,41.316008,-91.734033,8/26/1905
,41.316008,-91.734033,8/27/1905
,41.316008,-91.734033,8/28/1905
,41.316008,-91.734033,8/29/1905
,41.316008,-91.734033,8/30/1905
Tent,41.363902,-91.953786,8/31/1905
Tent,41.363902,-91.953786,9/1/1905
Tent,41.363902,-91.953786,9/2/1905
,41.363902,-91.953786,9/3/1905
Tent,41.322788,-92.330184,9/4/1905
Tent,41.322788,-92.330184,9/5/1905
,41.322788,-92.330184,9/6/1905
,41.316008,-91.734033,9/7/1905
,41.316008,-91.734033,9/8/1905
,41.316008,-91.734033,9/9/1905
Opera House,41.32083,-93.109371,9/11/1905
Opera House,41.32083,-93.109371,9/12/1905
Opera House,41.32083,-93.109371,9/13/1905
Opera House,41.296337,-92.644961,9/14/1905
Opera House,41.296337,-92.644961,9/15/1905
Opera House,41.296337,-92.644961,9/16/1905
,41.296337,-92.644961,9/17/1905
Opera House,41.333046,-92.20484,9/18/1905
Opera House,41.333046,-92.20484,9/19/1905
,41.875555,-87.624421,9/21/1905
,41.875555,-87.624421,9/22/1905
Opera House,41.316008,-91.734033,9/23/1905
,41.316008,-91.734033,9/24/1905
,41.316008,-91.734033,9/25/1905
Opera House,41.465065,-91.837854,9/26/1905
Opera House,41.465065,-91.837854,9/27/1905
,41.513898,-92.076289,9/28/1905
,41.584722,-92.525278,9/29/1905
,41.584722,-92.525278,9/30/1905
,41.699693,-93.053759,10/2/1905
,41.699693,-93.053759,10/3/1905
,41.699693,-93.053759,10/4/1905
Colonial Theatre,41.743055,-92.722421,10/5/1905
Colonial Theatre,41.743055,-92.722421,10/6/1905
Colonial Theatre,41.743055,-92.722421,10/7/1905
,41.743055,-92.722421,10/8/1905
Odeon Theatre,42.044255,-92.912339,10/9/1905
Odeon Theatre,42.044255,-92.912339,10/10/1905
Odeon Theatre,42.044255,-92.912339,10/11/1905
Armory Hall,42.466307,-93.825247,10/12/1905
Armory Hall,42.466307,-93.825247,10/13/1905
Armory Hall,42.466307,-93.825247,10/14/1905
,42.466307,-93.825247,10/15/1905
Opera House,42.581367,-94.846096,10/16/1905
Opera House,42.581367,-94.846096,10/17/1905
Opera House,42.581367,-94.846096,10/18/1905
Opera House,42.344987,-95.471667,10/19/1905
,42.344987,-95.471667,10/20/1905
Opera House,42.344987,-95.471667,10/21/1905
,42.344987,-95.471667,10/22/1905
Opera House,42.422203,-94.989711,10/23/1905
Opera House,42.422203,-94.989711,10/24/1905
Opera House,42.422203,-94.989711,10/25/1905
Opera House,42.312207,-95.25055,10/26/1905
Opera House,42.312207,-95.25055,10/27/1905
Opera House,42.312207,-95.25055,10/28/1905
,42.312207,-95.25055,10/29/1905
Opera House,42.641092,-95.209718,10/30/1905
Opera House,42.641092,-95.209718,10/31/1905
Opera House,42.641092,-95.209718,11/1/1905
Opera House,42.017766,-95.355276,11/2/1905
Opera House,42.017766,-95.355276,11/3/1905
Opera House,42.017766,-95.355276,11/4/1905
,42.017766,-95.355276,11/5/1905
,41.7372,-95.701287,11/6/1905
Opera House,41.7372,-95.701287,11/7/1905
Opera House,41.7372,-95.701287,11/8/1905
Opera House,41.854433,-95.600559,11/9/1905
Opera House,41.854433,-95.600559,11/10/1905
Opera House,41.854433,-95.600559,11/11/1905
Temple Grand Theatre,41.0586,-94.361347,11/13/1905
Temple Grand Theatre,41.0586,-94.361347,11/14/1905
Temple Grand Theatre,41.0586,-94.361347,11/15/1905
Opera House,40.604446,-95.657771,11/16/1905
Opera House,40.604446,-95.657771,11/17/1905
Opera House,40.604446,-95.657771,11/18/1905
McComb Opera House,40.765553,-95.37221,11/20/1905
McComb Opera House,40.765553,-95.37221,11/21/1905
McComb Opera House,40.765553,-95.37221,11/22/1905
[Armory Evans O.H.],41.009519,-95.228247,11/23/1905
Evans Theatre,41.009519,-95.228247,11/24/1905
Evans Theatre,41.009519,-95.228247,11/25/1905
,41.009519,-95.228247,11/26/1905
McComb Opera House,40.765553,-95.37221,11/27/1905
Overland Theatre,40.676526,-95.858694,11/28/1905
Overland Theatre,40.676526,-95.858694,11/29/1905
Hahn Opera House,40.367405,-96.194995,11/30/1905
Hahn Opera House,40.367405,-96.194995,12/1/1905
Hahn Opera House,40.367405,-96.194995,12/2/1905
,40.367405,-96.194995,12/3/1905
Opera House,40.122224,-96.662523,12/4/1905
Opera House,40.122224,-96.662523,12/5/1905
Steele's Opera House,40.137225,-97.180591,12/6/1905
Steele's Opera House,40.137225,-97.180591,12/7/1905
Steele's Opera House,40.137225,-97.180591,12/8/1905
Opera House,39.824667,-97.632555,12/9/1905
,39.824667,-97.632555,12/10/1905
Opera House,39.824667,-97.632555,12/11/1905
Opera House,39.824667,-97.632555,12/12/1905
Opera House,39.824667,-97.632555,12/13/1905
Opera House,40.372232,-97.971432,12/14/1905
Opera House,40.372232,-97.971432,12/15/1905
Opera House,40.372232,-97.971432,12/16/1905
,40.372232,-97.971432,12/17/1905
Opera House,40.431678,-98.105881,12/18/1905
Opera House,40.431678,-98.105881,12/19/1905
Opera House,40.431678,-98.105881,12/20/1905
New Opera House,40.481516,-96.960259,12/21/1905
New Opera House,40.481516,-96.960259,12/22/1905
New Opera House,40.481516,-96.960259,12/23/1905
Opera House,39.902222,-95.800823,12/25/1905
Opera House,39.902222,-95.800823,12/26/1905
Opera House,39.902222,-95.800823,12/27/1905
Opera House,40.122224,-96.662523,12/28/1905
Opera House,40.266429,-96.747369,12/29/1905
Opera House,40.266429,-96.747369,12/30/1905
,40.266429,-96.747369,12/31/1905
Paddock Opera House,40.266429,-96.747369,1/1/1906
Bowersock  Opera House,38.971938,-95.23595,1/2/1906
Bowersock  Opera House,38.971938,-95.23595,1/3/1906
Bowersock  Opera House,38.971938,-95.23595,1/4/1906
Opera House,38.497032,-94.950823,1/5/1906
Opera House,38.497032,-94.950823,1/6/1906
,38.497032,-94.950823,1/7/1906
Opera House,38.497032,-94.950823,1/8/1906
Opera House,38.61001,-95.684429,1/9/1906
Opera House,38.61001,-95.684429,1/10/1906
Opera House,38.633898,-95.825821,1/11/1906
Opera House,38.633898,-95.825821,1/12/1906
Opera House,38.633898,-95.825821,1/13/1906
,38.633898,-95.825821,1/14/1906
Midland Theatre,38.194467,-95.742764,1/15/1906
Midland Theatre,38.194467,-95.742764,1/16/1906
Midland Theatre,38.194467,-95.742764,1/17/1906
Apollo Opera House,37.881147,-95.733317,1/18/1906
Apollo Opera House,37.881147,-95.733317,1/19/1906
Apollo Opera House,37.881147,-95.733317,1/20/1906
,37.881147,-95.733317,1/21/1906
,37.51116,-94.838021,1/22/1906
Opera House,37.51116,-94.838021,1/23/1906
Opera House,37.51116,-94.838021,1/24/1906
Opera House,37.51116,-94.838021,1/25/1906
Williams Opera House,37.679214,-95.457203,1/26/1906
